Gene,Stable_ID,Band,GCpercent,Start,End,Strand,Chromosome
RPS6KB2,ENSG00000175634,q13.2,58.79,67428460,67435401,1.0,11
RPS6KL1,ENSG00000198208,q24.3,55.34,74903951,74923302,-1.0,14
RPS9,ENSG00000170889,q13.42,51.78,54200809,54249003,1.0,19
RPS14,ENSG00000164587,q33.1,48.3,150442635,150449739,-1.0,5
RPS15,ENSG00000115268,p13.3,62.7,1438358,1440494,1.0,19
RPS17,ENSG00000182774,q25.2,49.43,82536750,82540459,-1.0,15
RPS19,ENSG00000105372,q13.2,53.32,41860255,41872925,1.0,19
RPS23,ENSG00000186468,q14.2,44.59,82273320,82278396,-1.0,5
RPS25,ENSG00000118181,q23.3,47.62,119015712,119018691,-1.0,11
RPUSD2,ENSG00000166133,q15.1,48.66,40569299,40574949,1.0,15
RRAGC,ENSG00000116954,p34.3,41.36,38838198,38859772,-1.0,1
RRM2B,ENSG00000048392,q22.3,37.81,102204502,102238961,-1.0,8
RS1,ENSG00000102104,p22.13,47.9,18639688,18672108,-1.0,X
RSBN1,ENSG00000081019,p13.2,37.22,113761832,113812476,-1.0,1
RSPH1,ENSG00000160188,q22.3,46.0,42472486,42496246,-1.0,21
RSPH4A,ENSG00000111834,q22.1,37.88,116616479,116632985,1.0,6
RSPH9,ENSG00000172426,p21.1,50.65,43645036,43672600,1.0,6
RSPO1,ENSG00000169218,p34.3,52.57,37611350,37634892,-1.0,1
RTF1,ENSG00000137815,q15.1,45.65,41408408,41483563,1.0,15
RTL4,ENSG00000187823,q23,44.51,112454500,112457112,1.0,X
RTL5,ENSG00000242732,q13.1,54.99,72127110,72131901,-1.0,X
RTL8A,ENSG00000203950,q26.3,60.16,135050932,135052196,-1.0,X
RTL8B,ENSG00000212747,q26.3,51.33,135020513,135022542,-1.0,X
RTL8C,ENSG00000134590,q26.3,60.15,135032355,135033546,1.0,X
RTP5,ENSG00000188011,q37.3,65.65,241869600,241873823,1.0,2
RUNDC1,ENSG00000198863,q21.31,47.47,42980565,42993690,1.0,17
RUNX1T1,ENSG00000079102,q21.3,38.11,91954967,92103286,-1.0,8
RUNX2,ENSG00000124813,p21.1,40.23,45328157,45664349,1.0,6
RUSC2,ENSG00000198853,p13.3,44.22,35490111,35561898,1.0,9
RWDD1,ENSG00000111832,q22.1,36.37,116571409,116597675,1.0,6
RWDD2A,ENSG00000013392,q14.1,44.9,83193357,83198935,1.0,6
RWDD4,ENSG00000182552,q35.1,40.25,183639635,183659203,-1.0,4
RXRG,ENSG00000143171,q23.3,44.09,165400922,165445355,-1.0,1
RYR2,ENSG00000198626,q43,38.53,237042184,237833988,1.0,1
S1PR4,ENSG00000125910,p13.3,62.76,3172346,3180332,1.0,19
S100A1,ENSG00000160678,q21.3,55.61,153627926,153632039,1.0,1
S100A2,ENSG00000196754,q21.3,53.99,153561108,153567890,-1.0,1
S100A3,ENSG00000188015,q21.3,57.98,153547329,153549258,-1.0,1
S100A4,ENSG00000196154,q21.3,56.3,153543613,153550136,-1.0,1
S100A5,ENSG00000196420,q21.3,52.52,153537147,153541765,-1.0,1
S100A6,ENSG00000197956,q21.3,58.51,153534599,153536244,-1.0,1
S100A7,ENSG00000143556,q21.3,51.17,153457744,153460651,-1.0,1
S100A7A,ENSG00000184330,q21.3,48.07,153416520,153423222,1.0,1
S100A8,ENSG00000143546,q21.3,53.84,153390032,153391073,-1.0,1
S100A9,ENSG00000163220,q21.3,52.56,153357854,153361023,1.0,1
S100A12,ENSG00000163221,q21.3,49.61,153373711,153375621,-1.0,1
S100A14,ENSG00000189334,q21.3,57.25,153614255,153616986,-1.0,1
S100A16,ENSG00000188643,q21.3,57.24,153606886,153613145,-1.0,1
S100B,ENSG00000160307,q22.3,45.16,46598604,46605208,-1.0,21
S100G,ENSG00000169906,p22.2,42.32,16650158,16654670,1.0,X
S100Z,ENSG00000171643,q13.3,43.71,76850001,76921650,1.0,5
SACM1L,ENSG00000211456,p21.31,38.0,45689056,45745409,1.0,3
SAFB,ENSG00000160633,p13.3,47.35,5623035,5668478,1.0,19
SAFB2,ENSG00000130254,p13.3,49.34,5586999,5624046,-1.0,19
SAGE1,ENSG00000181433,q26.3,41.66,135889205,135913061,1.0,X
SAMD10,ENSG00000130590,q13.33,61.55,63974116,63980008,-1.0,20
SAMHD1,ENSG00000101347,q11.23,43.82,36890229,36951843,-1.0,20
SAP25,ENSG00000205307,q22.1,68.08,100572228,100573900,-1.0,7
SAP30BP,ENSG00000161526,q25.1,48.58,75667251,75708062,1.0,17
SARNP,ENSG00000205323,q13.2,42.46,55752463,55817724,-1.0,12
SASH3,ENSG00000122122,q26.1,52.71,129779949,129795201,1.0,X
SAV1,ENSG00000151748,q22.1,37.87,50632058,50668306,-1.0,14
SAXO2,ENSG00000188659,q25.2,37.38,82262810,82284930,1.0,15
SAYSD1,ENSG00000112167,p21.2,41.95,39104063,39115186,-1.0,6
SBK1,ENSG00000188322,p12.1,52.79,28259246,28323849,1.0,16
SBK2,ENSG00000187550,q13.42,57.35,55528611,55537133,-1.0,19
SBNO2,ENSG00000064932,p13.3,63.17,1107637,1174268,-1.0,19
SBSN,ENSG00000189001,q13.12,57.65,35523367,35528351,-1.0,19
SCAF4,ENSG00000156304,q22.11,38.15,31671000,31732118,-1.0,21
SCAF8,ENSG00000213079,q25.2,37.66,154733325,154834244,1.0,6
SCAMP3,ENSG00000116521,q22,51.95,155255979,155262430,-1.0,1
SCAMP4,ENSG00000227500,p13.3,60.08,1905372,1926013,1.0,19
SCAMP5,ENSG00000198794,q24.2,48.31,74957219,75021495,1.0,15
SCARA5,ENSG00000168079,p21.1,49.04,27869883,27992673,-1.0,8
SCCPDH,ENSG00000143653,q44,41.65,246724409,246768137,1.0,1
SCN7A,ENSG00000136546,q24.3,35.26,166403573,166611482,-1.0,2
SCO2,ENSG00000284194,q13.33,67.21,50523568,50526461,-1.0,22
SCUBE3,ENSG00000146197,p21.31,49.96,35213956,35253079,1.0,6
SDCBP,ENSG00000137575,q12.1,35.86,58552924,58582859,1.0,8
SDHAF2,ENSG00000167985,q12.2,45.26,61430042,61446733,1.0,11
SDHAF4,ENSG00000154079,q13,40.87,70566917,70589569,1.0,6
SDR42E1,ENSG00000184860,q23.3,44.27,81988855,82011481,-1.0,16
SEBOX,ENSG00000274529,q11.2,60.29,28364268,28365244,-1.0,17
SEC11A,ENSG00000140612,q25.3,42.34,84669538,84716460,-1.0,15
SEC14L2,ENSG00000100003,q12.2,50.37,30396941,30425303,1.0,22
SEC14L3,ENSG00000100012,q12.2,48.07,30447959,30472017,-1.0,22
SEC14L4,ENSG00000133488,q12.2,50.32,30488902,30505711,-1.0,22
SEC16B,ENSG00000120341,q25.2,43.66,177923956,177984303,-1.0,1
SELENOO,ENSG00000073169,q13.33,55.78,50200979,50217616,1.0,22
SELENOP,ENSG00000250722,p12,39.07,42799880,42887392,-1.0,5
SELENOT,ENSG00000198843,q25.1,37.86,150602875,150630445,1.0,3
SEMA3A,ENSG00000075213,q21.11,34.35,83955777,84492724,-1.0,7
SEMA3D,ENSG00000153993,q21.11,34.14,84995553,85186855,-1.0,7
SEMA3E,ENSG00000170381,q21.11,34.7,83363238,83649139,-1.0,7
SEMA4A,ENSG00000196189,q22,51.59,156147366,156177752,1.0,1
SEMA4B,ENSG00000185033,q26.1,50.67,90160604,90229679,1.0,15
SEMA6A,ENSG00000092421,q23.1,40.58,116443616,116574934,-1.0,5
SENP2,ENSG00000163904,q27.2,42.86,185582496,185633551,1.0,3
SERP1,ENSG00000120742,q25.1,38.84,150541998,150603228,-1.0,3
SERPINA1,ENSG00000197249,q32.13,51.8,94376747,94390693,-1.0,14
SERPINA6,ENSG00000170099,q32.13,45.28,94304248,94323389,-1.0,14
SERPINA9,ENSG00000170054,q32.13,46.26,94462717,94479689,-1.0,14
SERPINA10,ENSG00000140093,q32.13,44.67,94280460,94293268,-1.0,14
SERPINB6,ENSG00000124570,p25.2,47.23,2948159,2972165,-1.0,6
SERPINC1,ENSG00000117601,q25.1,46.31,173903804,173917378,-1.0,1
SERPINE1,ENSG00000106366,q22.1,50.41,101127104,101139247,1.0,7
SERPINH1,ENSG00000149257,q13.5,55.42,75562056,75572783,1.0,11
SET,ENSG00000119335,q34.11,49.47,128683424,128696400,1.0,9
SETD1A,ENSG00000099381,p11.2,55.65,30957754,30984664,1.0,16
SF1,ENSG00000168066,q13.1,49.33,64764606,64778786,-1.0,11
SF3A1,ENSG00000099995,q12.2,49.02,30331988,30356919,-1.0,22
SF3A2,ENSG00000104897,p13.3,58.43,2236824,2248655,1.0,19
SF3A3,ENSG00000183431,p34.3,44.37,37956975,37990075,-1.0,1
SF3B6,ENSG00000115128,p23.3,43.05,24067586,24076373,-1.0,2
SFI1,ENSG00000198089,q12.2,46.58,31488688,31618588,1.0,22
SFPQ,ENSG00000116560,p34.3,41.82,35176378,35193145,-1.0,1
SFR1,ENSG00000156384,q25.1,37.96,104122058,104126385,1.0,10
SFRP4,ENSG00000106483,p14.1,39.07,37905932,38025695,-1.0,7
SFSWAP,ENSG00000061936,q24.33,46.45,131711081,131799737,1.0,12
SFT2D2,ENSG00000213064,q24.2,43.38,168225938,168253021,1.0,1
SFXN1,ENSG00000164466,q35.2,42.43,175477062,175529742,1.0,5
SGO2,ENSG00000163535,q33.1,37.74,200510008,200584096,1.0,2
SGSM3,ENSG00000100359,q13.1,47.84,40370591,40410289,1.0,22
SGTA,ENSG00000104969,p13.3,57.76,2754715,2783282,-1.0,19
SH2B1,ENSG00000178188,p11.2,51.11,28846600,28874212,1.0,16
SH2B3,ENSG00000111252,q24.12,54.03,111405923,111451623,1.0,12
SH2D3A,ENSG00000125731,p13.3,51.73,6752160,6767463,-1.0,19
SH2D7,ENSG00000183476,q25.1,48.99,78077808,78104909,1.0,15
SH3BP5L,ENSG00000175137,q44,52.13,248810446,248825915,-1.0,1
SH3D19,ENSG00000109686,q31.3,40.79,151102751,151325632,-1.0,4
SH3GL3,ENSG00000140600,q25.2,40.8,83447228,83618743,1.0,15
SH3KBP1,ENSG00000147010,p22.12,43.06,19533977,19887600,-1.0,X
SH3PXD2B,ENSG00000174705,q35.1,48.3,172325000,172454525,-1.0,5
SHANK1,ENSG00000161681,q13.33,56.27,50661827,50719450,-1.0,19
SHC1,ENSG00000160691,q21.3,53.79,154962298,154974395,-1.0,1
SHC2,ENSG00000129946,p13.3,58.69,416583,460996,-1.0,19
SHCBP1L,ENSG00000157060,q25.3,38.47,182899865,182953525,-1.0,1
SHISA2,ENSG00000180730,q12.13,50.34,26044597,26052016,-1.0,13
SHISA4,ENSG00000198892,q32.1,58.03,201888680,201892587,1.0,1
SHISA5,ENSG00000164054,p21.31,50.15,48467798,48504826,-1.0,3
SHISAL2B,ENSG00000145642,q12.3,38.54,64690442,64718190,1.0,5
SHMT1,ENSG00000176974,p11.2,49.9,18327860,18363563,-1.0,17
SHPK,ENSG00000197417,p13.2,50.42,3608240,3636250,-1.0,17
SHROOM1,ENSG00000164403,q31.1,60.03,132822141,132830898,-1.0,5
SHROOM3,ENSG00000138771,q21.1,41.27,76435229,76783253,1.0,4
SHROOM4,ENSG00000158352,p11.22,40.17,50591647,50814302,-1.0,X
SIAE,ENSG00000110013,q24.2,40.66,124633113,124695707,-1.0,11
SIGLEC5,ENSG00000105501,q13.41,44.36,51611927,51645545,-1.0,19
SIGLEC6,ENSG00000105492,q13.41,46.97,51517819,51531856,-1.0,19
SIGLEC7,ENSG00000168995,q13.41,48.93,51142299,51153526,1.0,19
SIGLEC8,ENSG00000105366,q13.41,51.85,51450847,51458456,-1.0,19
SIGLEC9,ENSG00000129450,q13.41,47.77,51124908,51136651,1.0,19
SIGLEC10,ENSG00000142512,q13.41,53.94,51410020,51417803,-1.0,19
SIGLEC12,ENSG00000254521,q13.41,50.21,51491227,51501800,-1.0,19
SIGLECL1,ENSG00000179213,q13.41,42.85,51246348,51269330,1.0,19
SIMC1,ENSG00000170085,q35.2,42.19,176238367,176345991,1.0,5
SIN3A,ENSG00000169375,q24.2,44.13,75369379,75455842,-1.0,15
SIX3,ENSG00000138083,p21,57.28,44941702,44946071,1.0,2
SKOR1,ENSG00000188779,q23,60.12,67819704,67834582,1.0,15
SKP1,ENSG00000113558,q31.1,41.17,134148935,134176964,-1.0,5
SLAMF1,ENSG00000117090,q23.3,42.26,160608106,160647295,-1.0,1
SLAMF6,ENSG00000162739,q23.3,39.67,160485030,160523262,-1.0,1
SLAMF7,ENSG00000026751,q23.3,43.99,160739057,160754821,1.0,1
SLC1A2,ENSG00000110436,p13,42.2,35251205,35420063,-1.0,11
SLC1A6,ENSG00000105143,p13.12,46.49,14950034,15022990,-1.0,19
SLC2A5,ENSG00000142583,p36.23,47.92,9035106,9088478,-1.0,1
SLC2A7,ENSG00000197241,p36.23,52.44,9003300,9026345,-1.0,1
SLC2A8,ENSG00000136856,q33.3,57.79,127397138,127408424,1.0,9
SLC2A13,ENSG00000151229,q12,37.04,39755025,40106089,-1.0,12
SLC3A1,ENSG00000138079,p21,41.62,44275458,44321494,1.0,2
SLC4A1,ENSG00000004939,q21.31,55.79,44248390,44268141,-1.0,17
SLC4A10,ENSG00000144290,q24.2,35.91,161424332,161985282,1.0,2
SLC6A6,ENSG00000131389,p25.1,52.21,14402576,14489349,1.0,3
SLC6A7,ENSG00000011083,q32,54.63,150190062,150222788,1.0,5
SLC6A8,ENSG00000130821,q28,65.01,153687926,153696588,1.0,X
SLC6A9,ENSG00000196517,p34.1,56.44,43991500,44031467,-1.0,1
SLC6A20,ENSG00000163817,p21.31,47.96,45755449,45796536,-1.0,3
SLC7A2,ENSG00000003989,p22,40.13,17497088,17570573,1.0,8
SLC7A5,ENSG00000103257,q24.2,58.42,87830023,87869507,-1.0,16
SLC7A13,ENSG00000164893,q21.3,37.7,86214063,86321146,-1.0,8
SLC9A2,ENSG00000115616,q12.1,40.53,102619553,102711355,1.0,2
SLC9A4,ENSG00000180251,q12.1,40.97,102473226,102533972,1.0,2
SLC9A5,ENSG00000135740,q22.1,52.62,67237683,67272191,1.0,16
SLC9A6,ENSG00000198689,q26.3,40.97,135973841,136047269,1.0,X
SLC9C2,ENSG00000162753,q25.1,38.59,173500460,173603072,-1.0,1
SLC10A3,ENSG00000126903,q28,60.86,154487306,154490690,-1.0,X
SLC11A1,ENSG00000018280,q35,55.34,218382029,218396894,1.0,2
SLC12A2,ENSG00000064651,q23.3,35.24,128083766,128189677,1.0,5
SLC15A1,ENSG00000088386,q32.3,44.52,98683801,98752672,-1.0,13
SLC16A1,ENSG00000155380,p13.2,40.76,112911847,112957013,-1.0,1
SLC16A9,ENSG00000165449,q21.2,40.06,59650761,59736002,-1.0,10
SLC17A5,ENSG00000119899,q13,42.17,73593379,73653992,-1.0,6
SLC18A2,ENSG00000165646,q25.3,45.79,117241093,117279430,1.0,10
SLC19A1,ENSG00000173638,q22.3,56.63,45493572,45573365,-1.0,21
SLC20A2,ENSG00000168575,p11.21,44.17,42416475,42541926,-1.0,8
SLC22A4,ENSG00000197208,q31.1,44.99,132294394,132344190,1.0,5
SLC22A5,ENSG00000197375,q31.1,48.37,132369710,132395613,1.0,5
SLC22A7,ENSG00000137204,p21.1,53.71,43295694,43305538,1.0,6
SLC22A17,ENSG00000092096,q11.2,57.86,23346306,23352912,-1.0,14
SLC22A23,ENSG00000137266,p25.2,47.61,3268962,3457022,-1.0,6
SLC23A3,ENSG00000213901,q35,50.45,219161465,219170095,-1.0,2
SLC25A3,ENSG00000075415,q23.1,42.39,98593591,98606379,1.0,12
SLC25A5,ENSG00000005022,q24,52.54,119468422,119471396,1.0,X
SLC25A11,ENSG00000108528,p13.2,58.89,4937130,4940053,-1.0,17
SLC25A12,ENSG00000115840,q31.1,40.21,171783405,171999859,-1.0,2
SLC25A14,ENSG00000102078,q26.1,37.86,130339888,130373361,1.0,X
SLC25A23,ENSG00000125648,p13.3,52.6,6436079,6465203,-1.0,19
SLC25A24,ENSG00000085491,p13.3,39.44,108134043,108200849,-1.0,1
SLC25A27,ENSG00000153291,p12.3,37.89,46652915,46678190,1.0,6
SLC25A29,ENSG00000197119,q32.2,57.04,100291116,100306547,-1.0,14
SLC25A33,ENSG00000171612,p36.22,45.52,9539465,9585173,1.0,1
SLC25A39,ENSG00000013306,q21.31,61.11,44319625,44324870,-1.0,17
SLC25A41,ENSG00000181240,p13.3,50.86,6426037,6433779,-1.0,19
SLC25A42,ENSG00000181035,p13.11,52.56,19063994,19113030,1.0,19
SLC25A44,ENSG00000160785,q22,48.29,156193932,156212796,1.0,1
SLC25A47,ENSG00000140107,q32.2,61.03,100323339,100330421,1.0,14
SLC25A48,ENSG00000145832,q31.1,44.71,135579202,135889770,1.0,5
SLC25A51,ENSG00000122696,p13.1,42.85,37879400,37904353,-1.0,9
SLC25A53,ENSG00000269743,q22.2,42.85,104099214,104157009,-1.0,X
SLC26A2,ENSG00000155850,q32,41.16,149960758,149993455,1.0,5
SLC26A3,ENSG00000091138,q31.1,39.28,107765467,107803225,-1.0,7
SLC26A4,ENSG00000091137,q22.3,39.85,107660828,107717809,1.0,7
SLC27A3,ENSG00000143554,q21.3,59.39,153774354,153780157,1.0,1
SLC27A5,ENSG00000083807,q13.43,51.36,58479512,58512413,-1.0,19
SLC27A6,ENSG00000113396,q23.3,37.22,128538013,129033642,1.0,5
SLC29A1,ENSG00000112759,p21.1,56.81,44219553,44234142,1.0,6
SLC30A5,ENSG00000145740,q13.1,39.23,69093949,69131069,1.0,5
SLC30A6,ENSG00000152683,p22.3,39.74,32165841,32224379,1.0,2
SLC32A1,ENSG00000101438,q11.23,60.73,38724486,38729372,1.0,20
SLC34A1,ENSG00000131183,q35.3,54.73,177379235,177398848,1.0,5
SLC35B2,ENSG00000157593,p21.1,58.08,44254096,44257890,-1.0,6
SLC35C2,ENSG00000080189,q13.12,53.97,46345980,46364458,-1.0,20
SLC35F1,ENSG00000196376,q22.2,38.48,117907264,118317676,1.0,6
SLC35G3,ENSG00000164729,q12,54.39,35192520,35194523,-1.0,17
SLC38A7,ENSG00000103042,q21,52.71,58665109,58684770,-1.0,16
SLC38A9,ENSG00000177058,q11.2,38.77,55625845,55773194,-1.0,5
SLC39A3,ENSG00000141873,p13.3,57.81,2732204,2740028,-1.0,19
SLC39A6,ENSG00000141424,q12.2,39.44,36108531,36129385,-1.0,18
SLC39A10,ENSG00000196950,q32.3,38.48,195575977,195737702,1.0,2
SLC44A4,ENSG00000204385,p21.33,53.62,31863192,31879046,-1.0,6
SLC44A5,ENSG00000137968,p31.1,36.99,75202131,75611116,-1.0,1
SLC45A1,ENSG00000162426,p36.23,52.36,8317826,8344167,1.0,1
SLC45A3,ENSG00000158715,q32.1,54.44,205657851,205680509,-1.0,1
SLC47A1,ENSG00000142494,p11.2,47.07,19495385,19579034,1.0,17
SLC47A2,ENSG00000180638,p11.2,47.45,19678288,19718979,-1.0,17
SLC52A1,ENSG00000132517,p13.2,50.39,5032600,5052009,-1.0,17
SLCO1B1,ENSG00000134538,p12.1,35.19,21131194,21239796,1.0,12
SLCO1B3,ENSG00000111700,p12.2,35.9,20810702,20916911,1.0,12
SLCO1B7,ENSG00000205754,p12.2,35.42,20962768,21092745,1.0,12
SLCO1C1,ENSG00000139155,p12.2,34.9,20695355,20753386,1.0,12
SLCO3A1,ENSG00000176463,q26.1,45.12,91853708,92172435,1.0,15
SLCO4C1,ENSG00000173930,q21.1,34.85,102233986,102296284,-1.0,5
SLCO6A1,ENSG00000205359,q21.1,35.83,102371774,102499016,-1.0,5
SLFN5,ENSG00000166750,q12,41.59,35243071,35273655,1.0,17
SLFN11,ENSG00000172716,q12,39.26,35350305,35373701,-1.0,17
SLFN12,ENSG00000172123,q12,37.97,35411060,35433283,-1.0,17
SLFN13,ENSG00000154760,q12,41.71,35435096,35448837,-1.0,17
SLITRK2,ENSG00000185985,q27.3,44.16,145817832,145829856,1.0,X
SLITRK4,ENSG00000179542,q27.3,41.25,143622790,143636101,-1.0,X
SLK,ENSG00000065613,q24.33,36.59,103967140,104029233,1.0,10
SMAD3,ENSG00000166949,q22.33,48.33,67063763,67195169,1.0,15
SMAD6,ENSG00000137834,q22.31,50.82,66702236,66782849,1.0,15
SMAP1,ENSG00000112305,q13,37.73,70667776,70862011,1.0,6
SMARCA1,ENSG00000102038,q26.1,36.87,129446501,129523500,-1.0,X
SMARCA2,ENSG00000080503,p24.3,40.37,1980290,2193624,1.0,9
SMARCA4,ENSG00000127616,p13.2,52.5,10960825,11079426,1.0,19
SMARCAL1,ENSG00000138375,q35,43.15,216412414,216483053,1.0,2
SMARCD1,ENSG00000066117,q13.12,48.48,50085200,50100707,1.0,12
SMARCD2,ENSG00000108604,q23.3,55.99,63832081,63843065,-1.0,17
SMARCE1,ENSG00000073584,q21.2,37.88,40624962,40648654,-1.0,17
SMCO3,ENSG00000179256,p12.3,36.64,14804650,14814182,-1.0,12
SMCP,ENSG00000163206,q21.3,48.93,152878322,152885047,1.0,1
SMCR8,ENSG00000176994,p11.2,52.66,18315293,18328056,1.0,17
SMG5,ENSG00000198952,q22,49.82,156249224,156282825,-1.0,1
SMG7,ENSG00000116698,q25.3,40.28,183472216,183598246,1.0,1
SMIM5,ENSG00000204323,q25.1,60.02,75633434,75641404,1.0,17
SMIM6,ENSG00000259120,q25.1,55.57,75646243,75647975,1.0,17
SMIM10,ENSG00000184785,q26.3,44.3,134990991,134992473,1.0,X
SMIM15,ENSG00000188725,q12.1,36.56,61157704,61162468,-1.0,5
SMIM19,ENSG00000176209,p11.21,44.11,42541155,42555193,1.0,8
SMIM24,ENSG00000095932,p13.3,55.15,3473986,3480525,-1.0,19
SMN2,ENSG00000205571,q13.2,42.19,70049638,70078522,1.0,5
SMPX,ENSG00000091482,p22.12,40.14,21705978,21758116,-1.0,X
SMS,ENSG00000102172,p22.11,43.39,21940709,21994837,1.0,X
SMTNL2,ENSG00000188176,p13.2,57.24,4583999,4608319,1.0,17
SMU1,ENSG00000122692,p21.1,41.17,33041765,33076674,-1.0,9
SMYD3,ENSG00000185420,q44,40.6,245749342,246507312,-1.0,1
SNAI3,ENSG00000185669,q24.2,57.19,88677688,88686507,-1.0,16
SNAP91,ENSG00000065609,q14.2,36.62,83552880,83709691,-1.0,6
SNAPC5,ENSG00000174446,q22.31,44.44,66490135,66497780,-1.0,15
SNAPIN,ENSG00000143553,q21.3,50.6,153658703,153661852,1.0,1
SNCAIP,ENSG00000064692,q23.2,39.26,122311354,122464219,1.0,5
SND1,ENSG00000197157,q32.1,42.44,127652194,128092609,1.0,7
SNRPA,ENSG00000077312,q13.2,50.77,40750637,40765389,1.0,19
SNRPA1,ENSG00000131876,q26.3,42.28,101281510,101295282,-1.0,15
SNTB1,ENSG00000172164,q24.12,40.4,120535745,120813273,-1.0,8
SNTB2,ENSG00000168807,q22.1,41.92,69187129,69309052,1.0,16
SNUPN,ENSG00000169371,q24.2,47.36,75598083,75626469,-1.0,15
SNX14,ENSG00000135317,q14.3,37.43,85505496,85594156,-1.0,6
SNX18,ENSG00000178996,q11.2,42.68,54517759,54546586,1.0,5
SNX24,ENSG00000064652,q23.2,40.32,122843439,123029354,1.0,5
SNX32,ENSG00000172803,q13.1,49.41,65833834,65856896,1.0,11
SNX33,ENSG00000173548,q24.2,56.21,75647912,75662301,1.0,15
SOAT1,ENSG00000057252,q25.2,39.63,179293714,179358680,1.0,1
SOCS7,ENSG00000274211,q12,45.25,38351844,38405593,1.0,17
SOD1,ENSG00000142168,q22.11,44.42,31659666,31668931,1.0,21
SOGA1,ENSG00000149639,q11.23,51.51,36777447,36863538,-1.0,20
SOGA3,ENSG00000214338,q22.33,39.44,127472794,127519191,-1.0,6
SORCS3,ENSG00000156395,q25.1,40.93,104641290,105265242,1.0,10
SOST,ENSG00000167941,q21.31,55.36,43753738,43758791,-1.0,17
SOWAHA,ENSG00000198944,q31.1,57.68,132813302,132816786,1.0,5
SOWAHB,ENSG00000186212,q21.1,55.87,76894152,76898144,-1.0,4
SOWAHC,ENSG00000198142,q13,47.44,109614364,109618990,1.0,2
SOWAHD,ENSG00000187808,q24,65.51,119758588,119760202,1.0,X
SOX3,ENSG00000134595,q27.1,63.32,140502985,140505116,-1.0,X
SP7,ENSG00000170374,q13.13,53.31,53326575,53345315,-1.0,12
SPA17,ENSG00000064199,q24.2,37.97,124673798,124697518,1.0,11
SPACA3,ENSG00000141316,q11.2,47.15,32970376,32997877,1.0,17
SPAG7,ENSG00000091640,p13.2,51.59,4959226,4967817,-1.0,17
SPAG16,ENSG00000144451,q34,35.89,213284379,214410501,1.0,2
SPANXA2,ENSG00000203926,q27.2,49.48,141589708,141590762,1.0,X
SPANXB1,ENSG00000227234,q27.1,49.96,141002594,141003706,1.0,X
SPANXC,ENSG00000198573,q27.2,49.76,141241463,141242517,-1.0,X
SPANXN1,ENSG00000203923,q27.3,46.44,145247503,145256208,1.0,X
SPANXN2,ENSG00000268988,q27.3,46.77,143711955,143721423,-1.0,X
SPANXN3,ENSG00000189252,q27.3,46.53,143508735,143517475,-1.0,X
SPANXN4,ENSG00000189326,q27.3,46.49,143025918,143034702,1.0,X
SPATA2L,ENSG00000158792,q24.3,62.68,89696357,89701705,-1.0,16
SPATA8,ENSG00000185594,q26.2,51.55,96783389,96785615,1.0,15
SPATA9,ENSG00000145757,q15,37.03,95652181,95698711,-1.0,5
SPATA31A1,ENSG00000204849,p12,52.96,39355669,39361962,1.0,9
SPATA32,ENSG00000184361,q21.31,53.95,45254393,45262094,-1.0,17
SPATA33,ENSG00000167523,q24.3,52.08,89657802,89671272,1.0,16
SPATC1L,ENSG00000160284,q22.3,50.77,46161148,46184476,-1.0,21
SPATS1,ENSG00000249481,p21.1,42.36,44342650,44380179,1.0,6
SPATS2L,ENSG00000196141,q33.1,40.19,200305881,200482264,1.0,2
SPC24,ENSG00000161888,p13.2,53.53,11131520,11155808,-1.0,19
SPC25,ENSG00000152253,q31.1,39.39,168834132,168913371,-1.0,2
SPDYA,ENSG00000163806,p23.2,39.58,28782517,28850611,1.0,2
SPDYE2,ENSG00000205238,q22.1,51.28,102551232,102562308,1.0,7
SPG7,ENSG00000197912,q24.3,52.33,89490719,89557766,1.0,16
SPIDR,ENSG00000164808,q11.21,40.76,47260878,47736306,1.0,8
SPINK4,ENSG00000122711,p13.3,48.28,33218365,33248567,1.0,9
SPINT1,ENSG00000166145,q15.1,53.63,40844018,40858207,1.0,15
SPNS2,ENSG00000183018,p13.2,57.38,4498881,4539035,1.0,17
SPNS3,ENSG00000182557,p13.2,53.26,4433940,4488208,1.0,17
SPOCD1,ENSG00000134668,p35.2,49.3,31790422,31816051,-1.0,1
SPOCK1,ENSG00000152377,q31.2,42.8,136975298,137598379,-1.0,5
SPPL2C,ENSG00000185294,q21.31,61.18,45844881,45847067,1.0,17
SPR,ENSG00000116096,p13.2,54.62,72887382,72892158,1.0,2
SPRR1B,ENSG00000169469,q21.3,42.64,153031203,153032900,1.0,1
SPRY3,ENSG00000168939,q28,40.22,155767812,155782459,1.0,X
SPSB1,ENSG00000171621,p36.22,54.29,9292894,9369532,1.0,1
SPTBN5,ENSG00000137877,q15.1,59.31,41848146,41894053,-1.0,15
SRCIN1,ENSG00000277363,q12,56.67,38530031,38605952,-1.0,17
SREK1IP1,ENSG00000153006,q12.3,36.21,64718148,64768691,-1.0,5
SRF,ENSG00000112658,p21.1,55.64,43171269,43181506,1.0,6
SRFBP1,ENSG00000151304,q23.1,36.16,121961975,122075570,1.0,5
SRM,ENSG00000116649,p36.22,59.85,11054584,11060020,-1.0,1
SRPK1,ENSG00000096063,p21.31,40.48,35832966,35921342,-1.0,6
SRPK3,ENSG00000184343,q28,64.63,153776412,153785732,1.0,X
